Event Category,Event Name,Event Description,Trigger/When,User Properties,Event Properties,Funnel,Priority,Implementation Notes
Errors & Performance,Performance Issue,Slow page load detected,On performance threshold exceeded,user_id|user_role,page_name|load_time|threshold|session_id,Performance Monitoring,High,Track performance problems
Errors & Performance,Network Error,Network request fails,On network failure,user_id|user_role,request_type|error_type|session_id,Error Monitoring,High,Track connectivity issues

PWA & Mobile,PWA Installed,User installs PWA,On install confirmation,user_id,device_type|browser|os|session_id,PWA Adoption,High,Track PWA installation
PWA & Mobile,PWA Launched,User launches PWA,On PWA app start,user_id,device_type|launch_source|session_id,PWA Usage,Medium,Track PWA engagement
PWA & Mobile,Offline Mode Activated,User goes offline,On offline detection,user_id,page_context|session_id,PWA Usage,Medium,Track offline capability usage
PWA & Mobile,Offline Action Queued,User performs action offline,On offline action,user_id,action_type|session_id,PWA Usage,Medium,Track offline interactions
PWA & Mobile,Mobile Menu Opened,User opens mobile menu,On mobile menu toggle,user_id|user_role,page_context|session_id,Mobile Usage,Low,Track mobile navigation patterns

Sandbox Testing,Sandbox Access Granted,Stakeholder logs into sandbox,On sandbox authentication,stakeholder_id|stakeholder_role,sandbox_environment|feature_being_tested|session_id,Sandbox Testing,Critical,Track sandbox usage for prototypes
Sandbox Testing,Sandbox Feature Tested,Stakeholder tests feature in sandbox,On feature interaction in sandbox,stakeholder_id|stakeholder_role,feature_name|interaction_type|test_scenario|session_id,Sandbox Testing,Critical,Track hands-on testing
Sandbox Testing,Sandbox Feedback Submitted,Stakeholder submits sandbox feedback,On feedback form submission,stakeholder_id|stakeholder_role,feature_name|feedback_type|rating|comments|session_id,Sandbox Testing,Critical,Track stakeholder feedback quality
Sandbox Testing,Sandbox Session Duration,Time spent in sandbox,On sandbox logout,stakeholder_id|stakeholder_role,session_duration|pages_visited|features_tested|session_id,Sandbox Testing,High,Track engagement depth
